time,ethylbenzene_amean,isoprene_amean,x2_2_4_trimethylpentane_amean,x1_2_3_trimethylbenzene_amean,x1_3_5_trimethylbenzene_amean,n_heptane_amean,m_p_xylene_amean,toluene_amean,n_octane_amean,o_xylene_amean,benzene_amean,x1_2_4_trimethylbenzene_amean
04-May-2016 00:00:00,92.66,NaN,NaN,NaN,8.497,31.194,317.101,371.229,32.183,94.991,601.849,71.13
11-May-2016 00:00:00,87.699,NaN,NaN,NaN,NaN,39.71,248.293,421.107,41.482,70.187,394.111,34.37
12-May-2016 09:59:45,105.024,NaN,NaN,NaN,5.581,61.322,308.994,441.026,35.554,94.242,302.104,61.532
13-May-2016 00:00:00,75.741,NaN,NaN,NaN,NaN,37.83,208.028,291.011,14.208,61.145,407.163,19.072
19-May-2016 09:59:45,8.053,NaN,NaN,NaN,NaN,114.648,53.113,171.153,31.523,7.665,497.766,NaN
20-May-2016 00:00:00,15.378,NaN,NaN,NaN,NaN,18.957,74.864,185.704,25.724,13.286,518.329,10.587
26-May-2016 09:59:45,229.532,13.861,35.575,15.86,53.789,57.782,663.634,941.112,43.992,226.254,689.245,144.327
27-May-2016 00:00:00,172.428,14.2,30.328,2.291,10.107,NaN,531.078,968.737,58.633,170.395,NaN,123.456
09-Jun-2016 09:59:45,171.549,42.185,11.574,1.763,NaN,45.014,495.687,773.222,80.546,166.38,NaN,107.584
10-Jun-2016 00:00:00,152.646,NaN,17.23,6.175,11.889,NaN,440.931,923.175,72.904,151.609,NaN,101.173
14-Jun-2016 09:59:45,4.838,42.761,NaN,NaN,NaN,NaN,56.106,87.458,37.767,1.319,NaN,NaN
15-Jun-2016 00:00:00,19.583,2.094,NaN,NaN,NaN,NaN,96.369,150.82,40.59,12.567,NaN,NaN
21-Jun-2016 09:59:45,32.688,59.64,NaN,NaN,NaN,17.621,141.87,164.834,24.208,29.057,363.749,5.869
22-Jun-2016 00:00:00,55.055,38.518,NaN,NaN,NaN,37.971,206.368,294.439,52.979,60.316,495.031,15.685
05-Jul-2016 09:59:45,15.779,46.402,NaN,NaN,NaN,12.317,84.574,139.15,NaN,9.451,276.176,NaN
06-Jul-2016 00:00:00,42.333,NaN,NaN,NaN,NaN,25.146,151.196,256.638,3.864,32.611,245.963,4.824
07-Jul-2016 09:59:45,49.504,27.758,NaN,NaN,NaN,17.524,154.044,265.334,24.613,47.783,471.606,16.422
08-Jul-2016 00:00:00,79.664,6.534,NaN,NaN,3.98,32.195,283.716,391.573,21.493,87.662,592.46,58.276
12-Jul-2016 09:59:45,20.979,18.506,NaN,NaN,NaN,7.619,106.692,145.629,11.434,22.042,536.016,NaN
13-Jul-2016 00:00:00,37.626,NaN,NaN,NaN,NaN,22.912,146.049,225.545,13.577,28.344,613.995,4.932
19-Jul-2016 09:59:45,209.541,216.668,5.898,9.756,NaN,146.728,523.101,802.179,118.911,194.66,1542.975,63.876
20-Jul-2016 00:00:00,94.046,171.425,NaN,NaN,NaN,85.93,350.846,550.588,34.92,110.835,1907.534,48.651
02-Aug-2016 09:59:45,23.924,25.741,NaN,NaN,NaN,4.186,110.622,150.318,NaN,18.169,543.875,NaN
03-Aug-2016 00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.39,NaN,NaN,285.69,NaN
04-Aug-2016 09:59:45,26.577,38.144,NaN,NaN,NaN,10.126,116.02,235.017,4.063,20.347,326.821,NaN
05-Aug-2016 00:00:00,49.5,NaN,NaN,NaN,NaN,45.903,166.213,249.361,37.311,34.998,305.058,5.558
10-Aug-2016 00:00:00,4.838,5.558,NaN,NaN,NaN,NaN,185.508,293.132,NaN,33.39,1072.078,NaN
17-Aug-2016 00:00:00,70.563,11.341,NaN,NaN,NaN,45.298,299.872,597.002,84.923,68.998,1152.439,7.699
18-Aug-2016 09:59:45,36.063,98.918,NaN,NaN,NaN,13.222,204.78,387.574,NaN,33.242,868.798,NaN
26-Aug-2016 00:00:00,36.344,151.302,NaN,NaN,NaN,23.591,224.769,489.648,NaN,52.671,788.001,NaN
31-Aug-2016 09:59:45,92.751,68.115,NaN,NaN,NaN,15.179,340.685,803.414,NaN,79.098,466.784,38.936
01-Sep-2016 00:00:00,18.058,10.446,NaN,NaN,NaN,NaN,155.057,398.589,NaN,1.486,413.557,NaN
01-Sep-2016 09:59:45,NaN,50.308,NaN,NaN,NaN,NaN,24.413,236.365,NaN,NaN,529.923,NaN
02-Sep-2016 00:00:00,80.157,10.502,NaN,NaN,NaN,21.348,322.782,732.553,NaN,78.154,772.353,16.663
08-Sep-2016 09:59:45,NaN,303.615,NaN,NaN,NaN,NaN,NaN,202.745,NaN,NaN,204.737,NaN
